ID,Name,Type,Phase,Frozen,Duration,Start time,Relative time,Average rating,Round number,Division,Date
"1844","Codeforces Round 884 (Div. 1 + Div. 2)","CF","FINISHED","false","10800","1689086100","53507326","2077.777777777778","884","1","7/11/2023"
"1846","Codeforces Round 883 (Div. 3)","ICPC","FINISHED","false","8100","1688740500","53852926","1350","883","3","7/7/2023"
"1847","Codeforces Round 882 (Div. 2)","CF","FINISHED","false","8100","1688654100","53939326","1750","882","2","7/6/2023"
"1845","Educational Codeforces Round 151 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1688049300","54544126","1700","151","2","6/29/2023"
"1843","Codeforces Round 881 (Div. 3)","ICPC","FINISHED","false","8100","1687271700","55321726","1328.5714285714287","881","3","6/20/2023"
"1835","Codeforces Round 880 (Div. 1)","CF","FINISHED","false","7200","1687098900","55494526","2783.3333333333335","880","1","6/18/2023"
"1834","Codeforces Round 879 (Div. 2)","CF","FINISHED","false","7200","1687075500","55517926","1616.6666666666667","879","2","6/18/2023"
"1841","Educational Codeforces Round 150 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1686580500","56012926","1750","150","2","6/12/2023"
"1840","Codeforces Round 878 (Div. 3)","ICPC","FINISHED","false","8100","1686062100","56531326","1600","878","3","6/6/2023"
"1838","Codeforces Round 877 (Div. 2)","CF","FINISHED","false","7200","1685889900","56703526","1816.6666666666667","877","2","6/4/2023"
"1839","Codeforces Round 876 (Div. 2)","CF","FINISHED","false","7200","1685802900","56790526","1540","876","2","6/3/2023"
"1830","Codeforces Round 875 (Div. 1)","CF","FINISHED","false","9000","1685284500","57308926","2550","875","1","5/28/2023"
"1837","Educational Codeforces Round 149 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1685025300","57568126","1450","149","2","5/25/2023"
"1833","Codeforces Round 874 (Div. 3)","ICPC","FINISHED","false","8100","1684506900","58086526","1285.7142857142858","874","3","5/19/2023"
"1827","Codeforces Round 873 (Div. 1)","CF","FINISHED","false","7200","1684074900","58518526","2542.8571428571427","873","1","5/14/2023"
"1832","Educational Codeforces Round 148 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1683902100","58691326","1857.142857142857","148","2","5/12/2023"
"1824","Codeforces Round 872 (Div. 1)","CF","FINISHED","false","7200","1683547500","59045926","2416.6666666666665","872","1","5/8/2023"
